,backbone,mono_subs,di_subs
73,*c1c(*)c(C([H])([H])[H])c([H])c([H])c1[H],[2*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[3*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([3*])(C([H])([H])[H])C([H])([H])[H]
74,*c1c([H])c([H])c2c(c1[H])*c1c([H])c(*)c([H])c([H])c1*2,[12*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[7*]C(=O)C([H])([H])C([H])([H])C([7*])([H])[H]
75,*C1(C([H])([H])[H])C([H])(c2c([H])c([H])c([H])c([H])c2[H])*C([H])([H])C1([H])[H],[34*]c1c([H])c([H])c([H])c([H])c1[H],[12*]OC1([H])C([H])([H])C2([H])C([H])([H])C([H])(C1(O[12*])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H]
76,*C1=C(C([H])([H])C([H])([H])C([H])([H])[H])O*c2c([H])c([H])c([H])c([H])c21,[11*]c1c([H])c([H])c([H])c([H])c1C([H])([H])[H],[13*]c1c([H])c([H])c([H])c([H])c1Sc1c([13*])c([H])c([H])c([H])c1[H]
77,*c1c([H])*:*c1F,[10*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[6*]OC([H])([H])C([H])([H])C([H])([H])O[6*]
78,*c1c([H])c([H])c2c(c1[H])*1C(=O)C([H])([H])C3([H])OC([H])([H])C([H])([H])C4=C([H])*5C([H])([H])C([H])([H])C26C5([H])C([H])([H])C4([H])C3([H])C16[H],[8*]c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],[3*]C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([3*])([H])c1c([H])c([H])c([H])c([H])c1[H]
79,**1c2c([H])c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c2*2C1(C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H],[8*]c1c([H])c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c1[H],[23*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[23*])(C([H])([H])[H])C([H])([H])[H]
80,*C1([H])C(=C([H])C([H])([H])[H])**C1([H])C([H])([H])[H],[16*]c1c([H])c([H])c([H])c([H])c1[H],[44*]c1c([H])c([H])c([H])c([H])c1Oc1c([44*])c([H])c([H])c([H])c1[H]
81,*c1c([H])c2c3c(c1[H])*c1c(sc4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c14)*3c1sc3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*2,[15*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[2*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[2*])(C([H])([H])[H])C([H])([H])[H]
82,*c1c([H])c2c3c(c1[H])*c1c(sc4c([H])c([H])c([H])c([H])c14)*3c1sc3c([H])c([H])c([H])c([H])c3c1*2,[23*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[24*]OC([H])([H])C([H])([H])O[24*]
83,*c1c([H])*c2c([H])c([H])c(OC([H])([H])[H])c([H])c12,[16*][H],[6*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[6*])(C([H])([H])[H])C([H])([H])[H]
84,**1*C([H])([H])c2c([H])c([H])c([H])c([H])c21,[7*]c1c([H])c([H])c(F)c([H])c1[H],[14*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[14*]
85,[H]c1c([H])c([H])c2c(c1[H])Oc1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c2c1B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1O3,[6*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[21*]c1c([H])c([H])c([H])c([H])c1C(c1c([21*])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
86,[H]c1c([H])c([H])c(P2(=O)c3c([H])c([H])c([H])c([H])c3-c3c([H])c([H])c(-c4c([H])c5c6c(c4[H])-n4c7c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c7c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c74)B6c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c4O5)c([H])c32)c([H])c1[H],[5*]C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],[16*]C(=O)C(=O)c1c([16*])c([H])c([H])c([H])c1[H]
87,*C1(c2c([H])c([H])c([H])c([H])c2[H])*c2c([H])c([H])c([H])c([H])c2C1([H])C1([H])C([H])=C([H])C([H])([H])C([H])([H])C1([H])[H],[13*][H],[6*]c1c([H])c([H])c([H])c([H])c1C(c1c([6*])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
88,*C1([H])C([H])(c2c([H])c([H])c([H])c([H])c2[H])*C([H])([H])C1([H])c1c([H])c([H])c([H])c([H])c1[H],[11*]C([H])([H])c1c([H])c([H])c([H])c([H])c1Br,[33*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[33*])(C([H])([H])[H])C([H])([H])[H]
89,*c1c([H])c2c3c(c1[H])*c1c([H])c([H])c(C([H])([H])[H])c([H])c1*3c1c([H])c(C([H])([H])[H])c([H])c([H])c1*2,[14*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,[32*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([32*])(C([H])([H])[H])C([H])([H])[H]
90,*c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c([H])c(c14)*3c1c([H])c([H])c([H])c([H])c1*2,[22*]S(=O)(=O)c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],[6*]c1c([H])c([H])c([H])c([H])c1Oc1c([6*])c([H])c([H])c([H])c1[H]
91,*c1c(C([H])([H])[H])c([H])c2*c(-c3c([H])c([H])c(C(F)(F)F)c([H])c3[H])*c2c1C([H])([H])[H],[5*]P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[39*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C(c1c([39*])c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H])(C([H])([H])[H])C([H])([H])[H]
92,[H]c1c([H])c2c3c(c1[H])*1c4c([H])c([H])c([H])c([H])c4C(C([H])([H])[H])(C([H])([H])[H])c4c([H])c([H])c([H])c(c41)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1*2,[19*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,[21*]c1c([H])c([H])c([H])c2c([H])c([H])c3c([H])c([H])c4c([H])c([H])c([H])c([21*])c4c3c12
93,[H]c1*c(*2**C([H])(c3c([H])c([H])c([H])c([H])c3[H])C2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(-c2c(-c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c3[H])c([H])c([H])c([H])c2-c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2[H])c1[H],[9*]C([H])(C([H])([H])[H])C([H])([H])[H],[17*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[17*])(C([H])([H])[H])C([H])([H])[H]
94,*c1c([H])c([H])c(-c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c2*2c4c(c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c43)*3c4c(c([H])c([H])c([H])c4-2)-*2c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c24)c([H])c1[H],[6*]Cl,[11*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[11*])(C([H])([H])[H])C([H])([H])[H]
95,*=C(*1*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1)c1c([H])c([H])c([H])c([H])c1[H],[8*]C(=O)c1c([H])c([H])c([H])c([H])c1[H],[30*]c1c([H])c([H])c([H])c([H])c1Oc1c([30*])c([H])c([H])c([H])c1[H]
96,[H]c1c([H])c([H])c2c(c1[H])*c1c([H])c([H])c([H])c([H])c1*2,[6*]c1c(Cl)c([H])c(Cl)c([H])c1Cl,[13*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[13*])(C([H])([H])[H])C([H])([H])[H]
97,*c1c([H])c([H])c([H])c(*)c1-c1c([H])c([H])c([H])c([H])c1P(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[4*][Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[4*]Oc1c([H])c([H])c([H])c([H])c1O[4*]
98,*C1=C([H])c2c([H])c([H])c([H])c([H])c2*C1([H])[H],[12*]c1c([H])c([H])c(Br)c([H])c1[H],[7*]C(=O)C1(C([H])([H])[H])C([H])([H])C(C([7*])=O)(C([H])([H])[H])C([H])([H])C(C(=O)O[H])(C([H])([H])[H])C1([H])[H]
99,*c1c(F)c([H])c([H])c2c([H])c([H])*c12,[7*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[29*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[29*])(C([H])([H])[H])C([H])([H])[H]
100,*C(=C([H])[H])C1([H])*C([H])([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])[H])*C1([H])[H],[20*][H],[13*]c1c([H])c([H])c([H])c([H])c1[Se]c1c([13*])c([H])c([H])c([H])c1[H]
101,*C1([H])C([H])=C(C([H])([H])[H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C12*,[13*]C([H])(C([H])([H])[H])C([H])([H])[H],[46*]c1c([H])c([H])c([H])c([H])c1C(c1c([46*])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
102,*C1([H])C(=C([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])**C1([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[27*]c1c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[23*]c1c([H])c([H])c([H])c([H])c1C([H])([H])c1c([23*])c([H])c([H])c([H])c1[H]
103,*c1c([H])c([H])c([H])c([H])c1C([H])([H])*:*:*c(c[H])-c1c([H])c([H])c2c([H])c([H])c(=O)oc2c1[H],[10*]c1c(OC([H])([H])[H])c([H])c([H])c([H])c1OC([H])([H])[H],[10*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[10*])(C([H])([H])[H])C([H])([H])[H]
104,[H]c1c([H])c(C([H])([H])[H])c([H])c2c1-*1c3c([H])c([H])c(C([H])([H])[H])c([H])c3c3c([H])c(C([H])([H])[H])c([H])c(c13)*2,[24*]c1c([H])c([H])c([H])c([H])c1[H],[8*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([8*])([H])C([H])([H])C([H])([H])C1([H])[H]
105,*C([H])=C(*)c1c([H])c([H])c([H])c([H])c1[H],[5*]S(=O)(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12,[11*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([11*])([H])[H]
106,*C([H])(c1c([H])c([H])c(Br)c([H])c1[H])C(*)([H])C([H])([H])[H],[37*]C([H])([H])[H],[17*]c1c([H])c([H])c([H])c([H])c1C1(c2c([17*])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c21
107,*c1c(OC([H])([H])[H])*c(OC([H])([H])[H])c([H])c1[H],[27*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[35*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[35*])(C([H])([H])[H])C([H])([H])[H]
108,[H]C([H])([H])C1=*O**1,[41*]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],[4*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([4*])([H])C([H])([H])C([H])([H])C1([H])[H]
109,[H]C1(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])*OC(=O)*1,[57*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],[49*]c1c([H])c([H])c([H])c([H])c1Oc1c([49*])c([H])c([H])c([H])c1[H]
110,*C1([H])C([H])([H])*C([H])([H])C([H])([H])C1([H])[H],[18*]c1c(-c2c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1-c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],[7*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[7*])(C([H])([H])[H])C([H])([H])[H]
111,*c1c(-*)c([H])c(C([H])([H])[H])c([H])c1[H],[25*]C([H])([H])[H],[21*]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[21*]
112,**1C(C([H])([H])[H])=C(*)C12c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c12,[18*]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],[13*]C(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c(C([13*])=O)c12
113,*C([H])=C(*)c1c([H])c([H])c(F)c([H])c1[H],[5*]C(=O)C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],[15*]OC(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])C(O[15*])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
114,*c1c(-c2c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c([H])c2[H])c(*)c2c([H])c([H])c([H])c([H])c2c1[H],[21*]=O,[5*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[5*])(C([H])([H])[H])C([H])([H])[H]
115,*c1c([H])*c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[17*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[30*]c1c([H])c([H])c([H])c([H])c1C(c1c([30*])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
116,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2-c2c3c4c(c([H])c21)-n1c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c21)B4c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-3c12,[7*]C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],[21*]OC([H])([H])C([H])([H])O[21*]
117,[H]C([H])([H])C12*C3([H])*(*C([H])(C([H])([H])C1([H])[H])C2(C([H])([H])[H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C1([H])[H],[7*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[4*]C([H])([H])C([H])([H])SC([H])([H])C([4*])([H])[H]
118,*C1([H])C([H])([H])*C(=O)C1([H])c1c([H])c([H])c([H])c([H])c1[H],[6*]C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],[15*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[15*])(C([H])([H])[H])C([H])([H])[H]
119,[H]c1c([H])c2c(c([H])c1Cl)***2,[2*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[41*]c1c([H])c([H])c([H])c([H])c1Oc1c([41*])c([H])c([H])c([H])c1[H]
120,[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c([H])c3c1B2c1c([H])c([H])c([H])c2c4c([H])c([H])c([H])c([H])c4n-3c12,[24*]c1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1-c1c([H])c(C23C([H])([H])C4([H])C([H])([H])C([H])(C([H])([H])C([H])(C4([H])[H])C2([H])[H])C3([H])[H])c(OC([H])([H])[H])c(C23C([H])([H])C4([H])C([H])([H])C([H])(C([H])([H])C([H])(C4([H])[H])C2([H])[H])C3([H])[H])c1[H],[19*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[19*])(C([H])([H])[H])C([H])([H])[H]
121,*C1([H])C([H])([H])C1(*)c1c([H])c([H])c(Cl)c(Cl)c1[H],[25*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[24*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[24*])(C([H])([H])[H])C([H])([H])[H]
122,[H]C1=**(c2*c3c([H])c([H])c([H])c([H])c3c([H])c2[H])*c2c([H])c([H])c([H])c([H])c21,[23*]C(=O)C([H])([H])[H],[41*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[41*]
123,*C1([H])*2:*(c(=O)*c2=O)C([H])([H])C([H])([H])C1([H])[H],[64*]c1c([H])c([H])c([H])c([H])c1[H],[18*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[18*])(C([H])([H])[H])C([H])([H])[H]
124,[H]C([H])([H])C1(C([H])([H])[H])*C([H])(**C2([H])*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H],[18*]O[H],[49*]c1c([H])c([H])c([H])c([H])c1[Se]c1c([49*])c([H])c([H])c([H])c1[H]
125,[H]c1oc(C2([H])*C(C(=O)OC([H])([H])[H])(C([H])([H])[H])C([H])(*3*c4c([H])c([H])c([H])c([H])c4C([H])(c4c([H])c([H])c([H])c([H])c4[H])*3)C2([H])C(=O)OC([H])([H])[H])c([H])c1[H],[14*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[33*]c1c([H])c([H])c([H])c([H])c1Oc1c([33*])c([H])c([H])c([H])c1[H]
126,*c1c([H])*:*c1[Si](O[H])(C([H])([H])[H])C([H])([H])[H],[9*]=O,[12*]C(=O)C([H])([H])OC([H])([H])C([12*])=O
127,*c1c([H])*:*c1[H],[12*][H],[13*]Oc1c([H])c([H])c([H])c([H])c1O[13*]
128,*C([H])([H])C(*)([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[3*][Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],[32*]c1c([H])c([H])c([H])c2c([H])c([H])c3c([H])c([H])c4c([H])c([H])c([H])c([32*])c4c3c12
129,*c1c(OC([H])([H])[H])*:*c(-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H],[21*]C([H])([H])[H],[16*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[16*])(C([H])([H])[H])C([H])([H])[H]
130,*C1=C(c2c([H])c([H])c([H])c([H])c2[H])*C2(c3c([H])c([H])c([H])c([H])c3[H])C(c3c([H])c([H])c([H])c([H])c3[H])=C(c3c([H])c([H])c([H])c([H])c3[H])C12*,[14*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[9*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[9*])(C([H])([H])[H])C([H])([H])[H]
131,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c3c4c1C2(C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1N4c1c([H])c([H])c([H])c2c1B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[7*]c1c([H])c([H])c([H])c([H])c1[H],[12*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[12*])(C([H])([H])[H])C([H])([H])[H]
132,[H]C1([H])*C(C([H])([H])[H])=C(C([H])([H])[H])*1,[15*]C(=O)C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H],[11*]OC(C([H])([H])[H])(C(O[11*])(C([H])([H])[H])C(C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
133,[H]c1c([H])c([H])c(C2([H])**(C3([H])C([H])(C(F)(F)F)*OC3([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])*c3c([H])c([H])c([H])c([H])c32)c([H])c1[H],[10*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[9*]OC([H])([H])C1([H])OC2([H])OC(C([H])([H])[H])(C([H])([H])[H])OC2([H])C1([H])O[9*]
134,[H]c1c([H])c([H])c2c(c1[H])*c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*2c1c(c([H])c([H])c2c([H])c([H])c([H])c([H])c12)*3,[8*]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],[23*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[23*]
135,*C1(c2c([H])c([H])c([H])c([H])c2[H])*c2c([H])c([H])c([H])c([H])c2C1([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(C(=O)OC([H])([H])C([H])([H])[H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])[H],[4*]c1c(F)c(F)c(F)c(F)c1F,[14*]Oc1c([H])c([H])c([H])c([H])c1O[14*]
136,*c1c(-*)c([H])c([H])c([H])c1-*,[8*]C(=O)C([H])=C([H])[H],[23*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[23*]
137,[H]c1c([H])c([H])c2c(c1[H])[Se]c1c([H])c([H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c21,[11*]C([H])([H])c1c2c([H])c([H])c([H])c([H])c2c([H])c2c([H])c([H])c([H])c([H])c12,[6*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[6*]
138,*-c1c([H])c([H])c([H])c(-c2c([H])c3c4c(c2[H])-*2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c25)*4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c2*-3c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c24)c1[H],[4*]S(=O)(=O)C([H])([H])[H],[8*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[8*]
139,*c1c(*)c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[15*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[34*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([34*])([H])[H]
140,[H]c1c([H])c([H])c2c(c1[H])**C2([H])C([H])([H])[H],[11*]C([H])([H])[H],[20*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[20*])(C([H])([H])[H])C([H])([H])[H]
141,*c1c(*)c([H])c(Br)c([H])c1[H],[4*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[11*]C(=O)C1([H])N([52*])C([H])([H])C([H])([H])C1([H])[H]
142,*c1c(*)c([H])c(OC([H])([H])[H])c(Cl)c1[H],[16*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[49*]c1c([H])c([H])c([H])c([H])c1P(=S)(c1c([49*])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
143,*c1c(C#*)*c([H])c([H])c1[H],[25*][O-],[16*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([16*])([H])[H]
144,*c1c(-*)c([H])c(C#*)c([H])c1[H],[2*]C([H])([H])[H],[22*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[22*]
145,*C1([H])*C([H])([H])C([H])([H])C1([H])[H],[16*]c1c(F)c(F)c(F)c(F)c1F,[13*]C([H])([H])C([H])([H])OC([H])([H])C([13*])([H])[H]
146,[H]c1c2c3c(c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])*c1c([H])c([H])c4c([H])c([H])c5c([H])c([H])c([H])c([H])c5c4c1*3c1c(c([H])c3c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c13)*2,[11*]S(=O)(=O)C1([H])C([H])([H])C1([H])[H],[47*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[47*]
147,[H]C1(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])**C(=O)*1,[7*]c1c([H])c([H])c(Cl)c([H])c1[H],[22*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[22*]
148,*c1c([H])c([H])c([H])c([H])c1C([H])([H])*:*:*c(c[H])-c1c([H])c([H])c([H])c([H])c1[H],[10*]C(=O)C1([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C([H])([H])C1([H])[H],[32*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[32*])(C([H])([H])[H])C([H])([H])[H]
