,backbone,mono_subs,di_subs
15,*c1*c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])*1,[3*]C([H])(C([H])([H])[H])C([H])([H])[H],[16*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([16*])(C([H])([H])[H])C([H])([H])[H]
16,*c1c(OC([H])([H])[H])*c([H])c([H])c1[H],[11*]c1c([H])c([H])c(C(F)(F)F)c([H])c1[H],[20*]C([H])([H])C([H])([H])OC([H])([H])C([20*])([H])[H]
17,*C1([H])C([H])([H])*C([H])(C([H])([H])[H])C1([H])[H],[9*]C(=O)C(F)(F)F,[36*]c1c([H])c([H])c([H])c([H])c1Sc1c([36*])c([H])c([H])c([H])c1[H]
18,[H]c1c([H])c2c3c(c1[H])-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c([H])c([H])c3c1N2c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-3c12,[38*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],[28*]C(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c(C([28*])=O)c12
19,*C([H])([H])c1c([H])c([H])c([H])c2c1*OC2([H])[H],[22*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[16*]C([H])([H])C([H])([H])C([H])([H])C([16*])([H])[H]
20,*C12*c3c([H])c([H])c([H])c([H])c3C1(C([H])([H])[H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])*C([H])(c1c([H])c([H])c([H])c([H])c1[H])C2([H])[H],[18*]=O,[15*]OC1([H])C([H])([H])C2([H])C([H])([H])C([H])(C1(O[15*])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H]
21,[H]c1c([H])c2c3c(c1[H])-n1c4c(c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(-c5c([H])c([H])c(C#N)c([H])c5[H])c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[6*]O[H],[49*]c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1-c1c([49*])c([H])c([H])c([H])c1[H]
22,[H]c1c2c3c(c([H])c1C([H])([H])[H])*c1c(c([H])c4sc5c([H])c([H])c([H])c([H])c5c4c1[H])*3c1c(c([H])c3c(sc4c([H])c([H])c([H])c([H])c43)c1[H])*2,[14*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],[22*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([22*])([H])[H]
23,[H]c1c([H])c([H])c(C2([H])**c3c([H])c([H])c([H])c([H])c32)c([H])c1[H],[7*]c1c(F)c(F)c(F)c(F)c1F,[31*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([31*])(C([H])([H])[H])C([H])([H])[H]
24,*C1([H])C([H])([H])*C([H])([H])C1([H])OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[6*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[23*]c1c([H])c([H])c([H])c([H])c1C(c1c([23*])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
25,[H]c1c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c(*3c4c(c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c42)*c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c2*3c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c24)c1[H],[26*]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[7*]OC1([H])C([H])([H])C2([H])C([H])([H])C([H])(C1(O[7*])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H]
26,*=C1*c2c([H])c([H])c([H])c([H])c2C1=*,[8*]c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1C([H])([H])[H],[7*]c1c([H])c([H])c([H])c([H])c1Oc1c([7*])c([H])c([H])c([H])c1[H]
27,[H]c1c(Br)c2c3c(c1Br)-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[14*][Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[10*]C([H])([H])C([H])([H])SC([H])([H])C([10*])([H])[H]
28,*=C1**C(c2c([H])c([H])c([H])c([H])c2[H])=C(c2c([H])c([H])c([H])c([H])c2[H])C(c2c([H])c([H])c([H])c([H])c2[H])=C1c1c([H])c([H])c([H])c([H])c1[H],[10*]C(=C([H])[H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[21*]C(=O)OC([H])([H])C([21*])([H])[H]
29,*C1([H])c2c([H])c([H])c([H])c([H])c2*2C(=O)c3c([H])c([H])c([H])c([H])c3C21C([H])([H])[H],[14*]C([H])(C([H])([H])[H])C([H])([H])[H],[34*]C([H])([H])C([H])([H])OC([H])([H])C([34*])([H])[H]
