Structure,SMILES,Charge
bronsted_acid_cpa_28,O=P1(O)OC2=C(C3=C(C(F)(F)F)C=C(C(F)(F)F)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C(C(F)(F)F)C=C6C(F)(F)F)=CC7=CC=CC=C75,0
bronsted_acid_cpa_29,O=[P@]1(O)OC2=C(C3=C(C)C=C(C)C=C3C)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(C)C=C(C)C=C6C)=CC7=CC=CC=C75,0
bronsted_acid_cpa_2,O=P1(O)OC2=CC=C3C(C=CC=C3)=C2C4=C(O1)C=CC5=CC=CC=C54,0
bronsted_acid_cpa_30,O=P1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=CC=C([N+]([O-])=O)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C([N+]([O-])=O)C=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_31,O=[P@]1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(C(C)C)C=C(C(C)C)C=C6C(C)C)=CC7=CC=CC=C75,0
bronsted_acid_cpa_32,O=P1(O)OC2=C(C3=CC=C(C=CC=C4)C4=C3)C=C5C(CCCC5)=C2C6=C(O1)C(C7=CC(C=CC=C8)=C8C=C7)=CC9=C6CCCC9,0
bronsted_acid_cpa_33,O=P1(O)OC2=C(CC3=CC=CC=C3)C=C4C(CCCC4)=C2C5=C(O1)C(CC6=CC=CC=C6)=CC7=C5CCCC7,0
bronsted_acid_cpa_34,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=C(C=CC=C5)C5=C3)C=C6C(C=CC=C6)=C2C7=C(O1)C(C8=CC(C=CC=C9)=C9C%10=C8C=CC=C%10)=CC%11=CC=CC=C%117,0
bronsted_acid_cpa_35,O=[P@]1(O)OC2=C(C3=C(C(C)C)C=C(C(C)(C)C)C=C3C(C)C)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(C(C)C)C=C(C(C)(C)C)C=C6C(C)C)=CC7=CC=CC=C75,0
bronsted_acid_cpa_36,BrC1=CC2=CC=CC=C2C(C3=C(C=CC=C4)C4=CC(Br)=C3O5)=C1OP5(O)=O,0
bronsted_acid_cpa_37,O=P1(O)OC2=C([Si](C3=CC=C(C(C)(C)C)C=C3)(C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C(C)(C)C)C=C5)C=C6C(CCCC6)=C2C7=C(O1)C([Si](C8=CC=C(C(C)(C)C)C=C8)(C9=CC=C(C(C)(C)C)C=C9)C%10=CC=C(C(C)(C)C)C=C%10)=CC%11=C7CCCC%11,0
bronsted_acid_cpa_38,O=P1(O)OC2=C(C3=CC=C(C4CCCCC4)C=C3)C=C5C(CCCC5)=C2C6=C(O1)C(C7=CC=C(C8CCCCC8)C=C7)=CC9=C6CCCC9,0
bronsted_acid_cpa_39,O=P1(O)OC2=C(CC)C=C3C(CCCC3)=C2C4=C(O1)C(CC)=CC5=C4CCCC5,0
